[2025-05-03 20:40:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'stickers': [], 'preferred_locale': 'en-US', 'afk_timeout': 300, 'safety_alerts_channel_id': None, 'system_channel_id': '1367556586784034910', 'profile': None, 'default_message_notifications': 0, 'splash': None, 'application_id': None, 'features': [], 'guild_scheduled_events': [], 'members': [{'user': {'username': 'Konop_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1367541226936598679', 'global_name': None, 'display_name': None, 'discriminator': '2258', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1367556998434127956'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-01T17:43:16.489000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'premium_features': None, 'max_video_channel_users': 25, 'hub_type': None, 'home_header': None, 'icon': None, 'unavailable': False, 'discovery_splash': None, 'id': '1367556586784034907', 'max_members': 500000, 'verification_level': 0, 'name': 'Bot Test', 'incidents_data': None, 'emojis': [], 'application_command_counts': {}, 'premium_subscription_count': 0, 'explicit_content_filter': 0, 'lazy': True, 'rules_channel_id': None, 'nsfw_level': 0, 'threads': [], 'channels': [{'version': 1746121298338, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Canales de texto', 'id': '1367556586784034908', 'flags': 0}, {'version': 1746121298350, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Canales de voz', 'id': '1367556586784034909', 'flags': 0}, {'version': 1746121298358, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1367556586784034908', 'name': 'general', 'last_message_id': '1368373845458681856', 'id': '1367556586784034910', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1746121298364, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1367556586784034909', 'name': 'General', 'last_message_id': None, 'id': '1367556586784034911', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'mfa_level': 0, 'banner': None, 'presences': [], 'description': None, 'soundboard_sounds': [], 'premium_tier': 0, 'voice_states': [], 'member_count': 2, 'region': 'deprecated', 'afk_channel_id': None, 'nsfw': False, 'premium_progress_bar_enabled': False, 'system_channel_flags': 0, 'owner_id': '366063012655923210', 'embedded_activities': [], 'max_stage_video_channel_users': 50, 'joined_at': '2025-05-01T17:43:16.489000+00:00', 'activity_instances': [], 'stage_instances': [], 'public_updates_channel_id': None, 'latest_onboarding_question_id': None, 'moderator_reporting': None, 'version': 1746121299130, 'roles': [{'version': 1746121298329, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1367556586784034907', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1746132278461, 'unicode_emoji': None, 'tags': {'bot_id': '1367541226936598679'}, 'position': 3, 'permissions': '563276639759424', 'name': 'Konop_bot', 'mentionable': False, 'managed': True, 'id': '1367556998434127956', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1746132278447, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '0', 'name': 'nuevo rol', 'mentionable': False, 'managed': False, 'id': '1367602017509445676', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1746132445706, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'luki', 'mentionable': False, 'managed': False, 'id': '1367602583824371844', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}], 'vanity_url_code': None, 'inventory_settings': None, 'large': False}}
[2025-05-03 20:40:59] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-03 20:41:00] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '1cbcf037e8e552fda291b67246cbd767', 'members': [{'user': {'username': 'lucask5504', 'public_flags': 0, 'primary_guild': None, 'id': '366063012655923210', 'global_name': 'LucasK', 'display_name': 'LucasK', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'c539f65f83dea14b0e4ea51e95e3918e'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-01T17:41:38.284000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Konop_bot', 'public_flags': 0, 'primary_guild': None, 'id': '1367541226936598679', 'global_name': None, 'display_name': None, 'discriminator': '2258', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1367556998434127956'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-01T17:43:16.489000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1367556586784034907', 'chunk_index': 0, 'chunk_count': 1}}
[2025-05-03 20:41:00] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-03 20:41:00] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1367556586784034907.
[2025-05-03 20:41:01] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-05-03 20:41:01] [DEBUG   ] discord.client: Dispatching event ready
[2025-05-03 20:41:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '366063012655923210', 'timestamp': 1746316341, 'member': {'user': {'username': 'lucask5504', 'public_flags': 0, 'primary_guild': None, 'id': '366063012655923210', 'global_name': 'LucasK', 'display_name': 'LucasK', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'c539f65f83dea14b0e4ea51e95e3918e'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-05-01T17:41:38.284000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1367556586784034910', 'guild_id': '1367556586784034907'}}
[2025-05-03 20:41:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-03 20:41:05] [DEBUG   ] discord.client: Dispatching event typing
